depth_m,vx_north_ms,vy_east_ms
0.4940,0.044221,0.106663
1.5414,0.041527,0.104977
2.6457,0.038853,0.103237
3.8195,0.036177,0.101425
5.0782,0.033478,0.099522
6.4406,0.030738,0.097505
7.9296,0.027943,0.095352
9.5730,0.025063,0.093024
11.4050,0.022089,0.090491
13.4671,0.019010,0.087713
15.8101,0.015819,0.084646
18.4956,0.012517,0.081240
21.5988,0.009112,0.077434
25.2114,0.005625,0.073159
29.4447,0.002097,0.068341
34.4342,-0.001401,0.062902
40.3441,-0.004764,0.056762
47.3737,-0.007832,0.049847
55.7643,-0.010363,0.042097
65.8073,-0.011970,0.033382
77.8539,-0.011601,0.022859
92.3261,0.011872,0.019501
109.7293,0.020240,0.032020
130.6660,0.034500,0.053069
155.8507,0.012893,0.053656
186.1256,0.006661,0.047814
222.4752,0.003695,0.030773
266.0403,0.012235,0.021635
318.1274,0.021451,0.020592
380.2130,0.032881,0.017425
453.9377,0.043352,0.010421
541.0889,0.048415,0.009988
643.5668,0.051752,0.005142
763.3331,0.056935,0.004295
902.3393,0.051608,0.003250
