depth_m,vx_north_ms,vy_east_ms
0.4940,0.096695,0.077036
1.5414,0.093703,0.075671
2.6457,0.090773,0.074264
3.8195,0.087849,0.072783
5.0782,0.084863,0.071182
6.4406,0.081752,0.069411
7.9296,0.078475,0.067423
9.5730,0.075022,0.065182
11.4050,0.071410,0.062662
13.4671,0.067675,0.059845
15.8101,0.063872,0.056730
18.4956,0.060089,0.053342
21.5988,0.056461,0.049766
25.2114,0.053168,0.046165
29.4447,0.050404,0.042773
34.4342,0.048235,0.039739
40.3441,0.046689,0.037191
47.3737,0.045613,0.035027
55.7643,0.044903,0.033221
65.8073,0.044461,0.031699
77.8539,0.044188,0.030336
92.3261,0.044022,0.029047
109.7293,0.043919,0.027842
130.6660,0.039017,0.027010
155.8507,0.019532,0.008810
186.1256,0.028616,0.021489
222.4752,0.016031,0.032184
266.0403,-0.001649,0.031963
318.1274,-0.004267,0.017456
380.2130,0.009879,0.003906
453.9377,0.022491,-0.000121
541.0889,0.027405,-0.003959
643.5668,0.028039,-0.002809
763.3331,0.028124,-0.002484
902.3393,0.024074,-0.000774
