depth_m,vx_north_ms,vy_east_ms
0.4940,-0.113882,0.061870
1.5414,-0.113722,0.058662
2.6457,-0.113519,0.055416
3.8195,-0.113268,0.052098
5.0782,-0.112965,0.048679
6.4406,-0.112601,0.045130
7.9296,-0.112168,0.041425
9.5730,-0.111655,0.037540
11.4050,-0.111049,0.033455
13.4671,-0.110334,0.029147
15.8101,-0.109492,0.024594
18.4956,-0.108497,0.019768
21.5988,-0.107319,0.014635
25.2114,-0.105919,0.009159
29.4447,-0.104249,0.003303
34.4342,-0.102246,-0.002973
40.3441,-0.099825,-0.009724
47.3737,-0.096859,-0.017028
55.7643,-0.093120,-0.025047
65.8073,-0.088011,-0.034323
77.8539,-0.078430,-0.047835
92.3261,-0.029423,-0.086890
109.7293,0.056210,-0.067975
130.6660,0.073643,-0.038946
155.8507,0.067559,-0.028002
186.1256,0.067626,-0.024133
222.4752,0.067042,-0.015746
266.0403,0.066460,-0.008378
318.1274,0.064692,-0.000830
380.2130,0.061117,0.009008
453.9377,0.057297,0.013415
541.0889,0.055115,0.011550
643.5668,0.056438,0.009325
763.3331,0.055994,0.008028
902.3393,0.055336,0.009696
