depth_m,vx_north_ms,vy_east_ms
0.4940,0.067158,0.009677
1.5414,0.065486,0.006763
2.6457,0.063891,0.003881
3.8195,0.062363,0.001012
5.0782,0.060892,-0.001862
6.4406,0.059469,-0.004765
7.9296,0.058089,-0.007717
9.5730,0.056750,-0.010735
11.4050,0.055456,-0.013833
13.4671,0.054217,-0.017016
15.8101,0.053052,-0.020286
18.4956,0.051987,-0.023642
21.5988,0.051061,-0.027123
25.2114,0.050340,-0.030995
29.4447,0.050836,-0.038290
34.4342,0.073221,-0.070895
40.3441,0.139348,-0.078316
47.3737,0.107730,-0.054831
55.7643,0.083428,-0.074659
65.8073,0.058987,-0.067946
77.8539,0.029608,-0.079740
92.3261,0.020138,-0.100737
109.7293,0.018161,-0.113407
130.6660,0.024318,-0.120649
155.8507,0.019291,-0.128059
186.1256,0.020235,-0.131895
222.4752,0.027158,-0.140522
266.0403,0.046652,-0.143154
318.1274,0.063965,-0.151709
380.2130,0.085921,-0.162196
453.9377,0.098855,-0.160768
541.0889,0.093985,-0.158202
643.5668,0.092989,-0.158767
763.3331,0.097172,-0.149996
902.3393,0.100985,-0.138439
