depth_m,vx_north_ms,vy_east_ms
0.4940,-0.087654,0.029293
1.5414,-0.088883,0.025134
2.6457,-0.089728,0.021281
3.8195,-0.090167,0.017792
5.0782,-0.090166,0.014591
6.4406,-0.089548,0.011405
7.9296,-0.086020,0.005750
9.5730,-0.059597,-0.004657
11.4050,-0.019525,0.002883
13.4671,-0.009003,0.012722
15.8101,-0.019902,0.012549
18.4956,-0.051394,0.003437
21.5988,-0.060161,-0.006427
25.2114,-0.037269,-0.003857
29.4447,-0.012618,0.002476
34.4342,-0.000867,-0.003994
40.3441,0.001426,-0.027672
47.3737,-0.002504,-0.048395
55.7643,-0.007392,-0.053025
65.8073,-0.011842,-0.049862
77.8539,-0.015642,-0.048564
92.3261,-0.017791,-0.049877
109.7293,-0.019904,-0.051445
130.6660,-0.022431,-0.047001
155.8507,-0.021409,-0.043249
186.1256,-0.016524,-0.042340
222.4752,-0.008936,-0.042125
266.0403,-0.001931,-0.041591
318.1274,0.003350,-0.041971
380.2130,0.005619,-0.040583
453.9377,0.006357,-0.034428
541.0889,0.003097,-0.032223
643.5668,-0.000222,-0.040280
763.3331,0.000830,-0.050695
902.3393,0.006602,-0.058390
