depth_m,vx_north_ms,vy_east_ms
0.4940,-0.004139,0.083376
1.5414,-0.005902,0.080752
2.6457,-0.007630,0.078116
3.8195,-0.009336,0.075443
5.0782,-0.011034,0.072707
6.4406,-0.012738,0.069877
7.9296,-0.014462,0.066920
9.5730,-0.016216,0.063797
11.4050,-0.018010,0.060470
13.4671,-0.019849,0.056896
15.8101,-0.021730,0.053029
18.4956,-0.023645,0.048822
21.5988,-0.025572,0.044219
25.2114,-0.027475,0.039159
29.4447,-0.029293,0.033575
34.4342,-0.030917,0.027422
40.3441,-0.032162,0.020803
47.3737,-0.032771,0.014280
55.7643,-0.032611,0.008910
65.8073,-0.031855,0.005424
77.8539,-0.030808,0.003720
92.3261,-0.029681,0.003344
109.7293,-0.028576,0.003945
130.6660,-0.027562,0.005369
155.8507,-0.026558,0.008466
186.1256,0.006243,0.001945
222.4752,-0.007392,-0.017173
266.0403,-0.005794,-0.014067
318.1274,0.001336,-0.007237
380.2130,0.003626,0.002537
453.9377,0.000338,0.005402
541.0889,-0.003656,-0.000212
643.5668,-0.002741,-0.009627
763.3331,0.017743,-0.019666
902.3393,0.042000,-0.020948
