depth_m,vx_north_ms,vy_east_ms
0.4940,-0.010175,0.056061
1.5414,-0.010055,0.052750
2.6457,-0.009855,0.049451
3.8195,-0.009570,0.046137
5.0782,-0.009190,0.042778
6.4406,-0.008703,0.039345
7.9296,-0.008092,0.035812
9.5730,-0.007335,0.032151
11.4050,-0.006405,0.028340
13.4671,-0.005267,0.024359
15.8101,-0.003880,0.020194
18.4956,-0.002197,0.015841
21.5988,-0.000161,0.011309
25.2114,0.002285,0.006626
29.4447,0.005199,0.001843
34.4342,0.008630,-0.002958
40.3441,0.012606,-0.007667
47.3737,0.017128,-0.012140
55.7643,0.022138,-0.016196
65.8073,0.027507,-0.019619
77.8539,0.033055,-0.022168
92.3261,0.039006,-0.023559
109.7293,0.055460,-0.017571
130.6660,0.054808,0.038277
155.8507,0.035446,0.035184
186.1256,0.032896,0.028444
222.4752,0.036161,0.022634
266.0403,0.037554,0.018241
318.1274,0.035930,0.014882
380.2130,0.032825,0.006486
453.9377,0.031424,0.002329
541.0889,0.030048,-0.003194
643.5668,0.035121,-0.009562
763.3331,0.047018,-0.010251
902.3393,0.052042,0.007030
