depth_m,vx_north_ms,vy_east_ms
0.4940,-0.006891,0.033937
1.5414,-0.008823,0.031428
2.6457,-0.010722,0.028887
3.8195,-0.012604,0.026292
5.0782,-0.014482,0.023618
6.4406,-0.016369,0.020834
7.9296,-0.018280,0.017909
9.5730,-0.020225,0.014806
11.4050,-0.022217,0.011482
13.4671,-0.024262,0.007890
15.8101,-0.026367,0.003974
18.4956,-0.028529,-0.000327
21.5988,-0.030741,-0.005087
25.2114,-0.032985,-0.010394
29.4447,-0.035225,-0.016351
34.4342,-0.037404,-0.023081
40.3441,-0.039417,-0.030725
47.3737,-0.041082,-0.039394
55.7643,-0.042032,-0.049061
65.8073,-0.040524,-0.062478
77.8539,-0.011434,-0.088187
92.3261,0.019106,-0.025013
109.7293,0.027981,-0.012725
130.6660,0.036890,-0.016975
155.8507,0.031590,-0.025006
186.1256,0.029192,-0.025348
222.4752,0.031341,-0.026011
266.0403,0.032468,-0.021570
318.1274,0.032124,-0.009196
380.2130,0.029842,0.006194
453.9377,0.024594,0.020539
541.0889,0.015411,0.030414
643.5668,0.003593,0.038472
763.3331,-0.011666,0.041155
902.3393,-0.023102,0.035528
