depth_m,vx_north_ms,vy_east_ms
0.4940,0.077751,0.035779
1.5414,0.074172,0.035581
2.6457,0.070665,0.035246
3.8195,0.067215,0.034768
5.0782,0.063803,0.034140
6.4406,0.060412,0.033347
7.9296,0.057028,0.032371
9.5730,0.053641,0.031189
11.4050,0.050247,0.029772
13.4671,0.046848,0.028084
15.8101,0.043460,0.026085
18.4956,0.040112,0.023729
21.5988,0.036852,0.020966
25.2114,0.033752,0.017734
29.4447,0.030910,0.013947
34.4342,0.028486,0.009446
40.3441,0.026789,0.003783
47.3737,0.027078,-0.004516
55.7643,0.033655,-0.014215
65.8073,0.021383,-0.030917
77.8539,0.046160,-0.052806
92.3261,0.052748,-0.048471
109.7293,0.052475,-0.042315
130.6660,0.051756,-0.040232
155.8507,0.049196,-0.045746
186.1256,0.048504,-0.047783
222.4752,0.046501,-0.044159
266.0403,0.042393,-0.039740
318.1274,0.037080,-0.037474
380.2130,0.031924,-0.039810
453.9377,0.030113,-0.047259
541.0889,0.032315,-0.056426
643.5668,0.033333,-0.063858
763.3331,0.033421,-0.061806
902.3393,0.032849,-0.053790
