depth_m,vx_north_ms,vy_east_ms
0.4940,-0.080076,0.074500
1.5414,-0.075919,0.078070
2.6457,-0.072027,0.081665
3.8195,-0.068536,0.085138
5.0782,-0.065501,0.088403
6.4406,-0.062967,0.091385
7.9296,-0.060939,0.094075
9.5730,-0.059317,0.096810
11.4050,-0.057410,0.105159
13.4671,-0.080351,0.118782
15.8101,-0.083873,0.110838
18.4956,-0.084333,0.116122
21.5988,-0.097553,0.116354
25.2114,-0.119284,0.091679
29.4447,-0.111899,0.083698
34.4342,-0.094981,0.101458
40.3441,-0.082304,0.119723
47.3737,-0.081676,0.125556
55.7643,-0.086340,0.116970
65.8073,-0.088299,0.102507
77.8539,-0.085831,0.091147
92.3261,-0.088426,0.088422
109.7293,-0.098546,0.089276
130.6660,-0.100607,0.091901
155.8507,-0.103513,0.083582
186.1256,-0.108003,0.072728
222.4752,-0.104416,0.066758
266.0403,-0.099988,0.061050
318.1274,-0.095887,0.059698
380.2130,-0.092195,0.055818
453.9377,-0.088682,0.053926
541.0889,-0.086217,0.049572
643.5668,-0.079626,0.046212
763.3331,-0.080493,0.052612
902.3393,-0.098652,0.052684
