depth_m,vx_north_ms,vy_east_ms
0.4940,0.006537,-0.095772
1.5414,0.003372,-0.088913
2.6457,0.001565,-0.085864
3.8195,0.000539,-0.084398
5.0782,-0.000210,-0.083470
6.4406,-0.000811,-0.082814
7.9296,-0.001330,-0.082317
9.5730,-0.001817,-0.081908
11.4050,-0.002294,-0.081560
13.4671,-0.002773,-0.081259
15.8101,-0.003263,-0.080998
18.4956,-0.003774,-0.080774
21.5988,-0.004311,-0.080586
25.2114,-0.004882,-0.080436
29.4447,-0.005491,-0.080330
34.4342,-0.006143,-0.080284
40.3441,-0.006898,-0.080556
47.3737,-0.006585,-0.081456
55.7643,0.005239,-0.079360
65.8073,0.046894,-0.082902
77.8539,0.068060,-0.080756
92.3261,0.077843,-0.068430
109.7293,0.079533,-0.045697
130.6660,0.090051,-0.023783
155.8507,0.103521,-0.023761
186.1256,0.110912,-0.009970
222.4752,0.102690,0.007691
266.0403,0.092938,0.013703
318.1274,0.086747,0.005988
380.2130,0.080990,-0.007747
453.9377,0.084291,-0.023353
541.0889,0.094077,-0.029446
643.5668,0.099125,-0.028039
763.3331,0.094589,-0.025401
902.3393,0.080652,-0.028341
