depth_m,vx_north_ms,vy_east_ms
0.4940,0.099190,0.048668
1.5414,0.103504,0.045662
2.6457,0.107719,0.043129
3.8195,0.111551,0.041197
5.0782,0.114942,0.039854
6.4406,0.118133,0.039030
7.9296,0.123412,0.038931
9.5730,0.145979,0.059621
11.4050,0.153828,0.122598
13.4671,0.142462,0.128390
15.8101,0.131715,0.109453
18.4956,0.125144,0.088734
21.5988,0.118611,0.075920
25.2114,0.104730,0.069165
29.4447,0.078231,0.064264
34.4342,0.038597,0.057290
40.3441,-0.003924,0.047274
47.3737,-0.034805,0.040003
55.7643,-0.049541,0.029029
65.8073,-0.055036,0.015153
77.8539,-0.057434,0.003224
92.3261,-0.059258,-0.004768
109.7293,-0.059864,-0.009451
130.6660,-0.058748,-0.004968
155.8507,-0.051913,-0.006108
186.1256,-0.048996,-0.008650
222.4752,-0.043576,-0.011957
266.0403,-0.038022,-0.013448
318.1274,-0.033629,-0.013419
380.2130,-0.028834,-0.011378
453.9377,-0.023318,-0.007779
541.0889,-0.014017,-0.002637
643.5668,-0.003683,-0.002741
763.3331,0.002261,-0.008201
902.3393,0.005243,-0.015537
