depth_m,vx_north_ms,vy_east_ms
0.4940,0.241720,-0.099633
1.5414,0.241262,-0.095159
2.6457,0.240665,-0.090784
3.8195,0.239942,-0.086471
5.0782,0.239093,-0.082188
6.4406,0.238115,-0.077901
7.9296,0.236996,-0.073579
9.5730,0.235720,-0.069201
11.4050,0.234262,-0.064733
13.4671,0.232591,-0.060157
15.8101,0.230667,-0.055463
18.4956,0.228431,-0.050644
21.5988,0.225795,-0.045690
25.2114,0.222580,-0.040554
29.4447,0.218296,-0.034996
34.4342,0.210513,-0.027532
40.3441,0.171737,-0.006934
47.3737,0.011247,-0.015070
55.7643,-0.014741,-0.010824
65.8073,-0.011323,-0.005429
77.8539,-0.004257,-0.002692
92.3261,0.001869,0.000377
109.7293,0.005667,0.003930
130.6660,0.009026,0.003556
155.8507,0.009593,0.001916
186.1256,0.009703,-0.003426
222.4752,0.006995,-0.008063
266.0403,0.003261,-0.013619
318.1274,0.002616,-0.015292
380.2130,0.002418,-0.016757
453.9377,-0.002105,-0.018854
541.0889,-0.004206,-0.025184
643.5668,-0.003573,-0.035319
763.3331,-0.000079,-0.052607
902.3393,-0.002279,-0.069528
