depth_m,vx_north_ms,vy_east_ms
0.4940,0.008449,0.030881
1.5414,0.013341,0.034444
2.6457,0.017525,0.038123
3.8195,0.020724,0.041481
5.0782,0.023004,0.044346
6.4406,0.024541,0.046751
7.9296,0.025498,0.048957
9.5730,0.023389,0.057095
11.4050,-0.009593,0.053964
13.4671,-0.018472,0.035752
15.8101,-0.017587,0.028780
18.4956,-0.008753,0.019928
21.5988,0.006054,0.013432
25.2114,0.019156,0.013386
29.4447,0.027735,0.018266
34.4342,0.034240,0.025573
40.3441,0.037345,0.032337
47.3737,0.035589,0.033762
55.7643,0.032149,0.030342
65.8073,0.029188,0.026572
77.8539,0.026231,0.023685
92.3261,0.023120,0.020722
109.7293,0.021093,0.018718
130.6660,0.027209,0.017552
155.8507,0.025871,0.014318
186.1256,0.026415,0.013552
222.4752,0.028931,0.012650
266.0403,0.028640,0.013705
318.1274,0.023601,0.014673
380.2130,0.022363,0.011200
453.9377,0.022209,0.011040
541.0889,0.022163,0.014611
643.5668,0.016738,0.013216
763.3331,0.019547,0.010819
902.3393,0.016094,0.009806
