depth_m,vx_north_ms,vy_east_ms
0.4940,0.146993,0.011699
1.5414,0.142576,0.009595
2.6457,0.138414,0.007234
3.8195,0.134614,0.004700
5.0782,0.131205,0.002052
6.4406,0.128201,-0.000654
7.9296,0.125611,-0.003355
9.5730,0.123444,-0.005988
11.4050,0.121692,-0.008496
13.4671,0.120334,-0.010846
15.8101,0.119344,-0.013013
18.4956,0.118699,-0.015024
21.5988,0.118404,-0.016928
25.2114,0.118637,-0.018778
29.4447,0.119960,-0.020585
34.4342,0.123430,-0.021315
40.3441,0.126161,-0.017100
47.3737,0.126453,-0.011608
55.7643,0.110918,-0.000925
65.8073,0.088804,0.014137
77.8539,0.080327,0.050294
92.3261,0.065475,0.043175
109.7293,0.065994,0.032735
130.6660,0.063831,0.018725
155.8507,0.054242,0.023480
186.1256,0.044383,0.016216
222.4752,0.051417,-0.006857
266.0403,0.069593,-0.029260
318.1274,0.088206,-0.040923
380.2130,0.103721,-0.040254
453.9377,0.111090,-0.035337
541.0889,0.114411,-0.031088
643.5668,0.115058,-0.026897
763.3331,0.110751,-0.030574
902.3393,0.105707,-0.039469
