depth_m,vx_north_ms,vy_east_ms
0.4940,-0.054660,0.136618
1.5414,-0.051509,0.136091
2.6457,-0.048381,0.135604
3.8195,-0.045255,0.135154
5.0782,-0.042106,0.134738
6.4406,-0.038908,0.134356
7.9296,-0.035637,0.134006
9.5730,-0.032268,0.133690
11.4050,-0.028782,0.133413
13.4671,-0.025165,0.133179
15.8101,-0.021410,0.132998
18.4956,-0.017526,0.132879
21.5988,-0.013534,0.132835
25.2114,-0.009469,0.132881
29.4447,-0.005370,0.133036
34.4342,-0.001224,0.133332
40.3441,0.003304,0.133875
47.3737,0.014585,0.136715
55.7643,0.024379,0.105095
65.8073,0.045672,-0.041990
77.8539,0.072365,-0.087841
92.3261,0.078603,-0.089805
109.7293,0.081044,-0.090578
130.6660,0.084379,-0.093103
155.8507,0.097483,-0.098421
186.1256,0.107487,-0.104598
222.4752,0.113283,-0.112140
266.0403,0.120533,-0.121964
318.1274,0.134063,-0.133490
380.2130,0.149621,-0.144004
453.9377,0.158549,-0.146824
541.0889,0.157870,-0.143211
643.5668,0.144808,-0.133613
763.3331,0.135751,-0.116294
902.3393,0.126265,-0.100891
