depth_m,vx_north_ms,vy_east_ms
0.4940,0.063418,0.152481
1.5414,0.061545,0.149958
2.6457,0.059666,0.147386
3.8195,0.057767,0.144739
5.0782,0.055830,0.141992
6.4406,0.053840,0.139115
7.9296,0.051781,0.136076
9.5730,0.049635,0.132839
11.4050,0.047388,0.129365
13.4671,0.045027,0.125614
15.8101,0.042542,0.121541
18.4956,0.039927,0.117099
21.5988,0.037183,0.112242
25.2114,0.034320,0.106921
29.4447,0.031360,0.101089
34.4342,0.028341,0.094709
40.3441,0.025325,0.087759
47.3737,0.022404,0.080253
55.7643,0.019700,0.072263
65.8073,0.017368,0.063947
77.8539,0.015572,0.055587
92.3261,0.014443,0.047596
109.7293,0.014002,0.040480
130.6660,0.014046,0.034664
155.8507,0.013210,0.029340
186.1256,0.019309,-0.009264
222.4752,-0.001660,-0.021451
266.0403,-0.000899,-0.021685
318.1274,0.007392,-0.019953
380.2130,0.013832,-0.010519
453.9377,0.012805,-0.005268
541.0889,0.006902,-0.004829
643.5668,0.004957,-0.006115
763.3331,0.021647,-0.017260
902.3393,0.042431,-0.022152
