depth_m,vx_north_ms,vy_east_ms
0.4940,-0.012096,-0.182410
1.5414,-0.003871,-0.173286
2.6457,0.009771,-0.149955
3.8195,0.037733,-0.093899
5.0782,0.051813,-0.080424
6.4406,0.061340,-0.071347
7.9296,0.067748,-0.057014
9.5730,0.070683,-0.036518
11.4050,0.070794,-0.010421
13.4671,0.069049,0.018906
15.8101,0.066588,0.046969
18.4956,0.064506,0.069244
21.5988,0.063322,0.083352
25.2114,0.062059,0.089460
29.4447,0.057528,0.088857
34.4342,0.045502,0.081036
40.3441,0.027215,0.060228
47.3737,0.016747,0.024295
55.7643,0.020423,-0.010416
65.8073,0.027831,-0.019211
77.8539,0.027554,-0.009289
92.3261,0.022720,0.000122
109.7293,0.011727,-0.001847
130.6660,-0.005161,0.002800
155.8507,-0.014898,0.010068
186.1256,-0.019488,0.015679
222.4752,-0.021943,0.014520
266.0403,-0.021035,0.011805
318.1274,-0.015333,0.008108
380.2130,-0.008137,0.001874
453.9377,0.003094,-0.004390
541.0889,0.003493,-0.008429
643.5668,0.001941,-0.012665
763.3331,0.002741,-0.025118
902.3393,0.014844,-0.046902
