depth_m,vx_north_ms,vy_east_ms
0.4940,0.007667,-0.005994
1.5414,0.005433,-0.003097
2.6457,0.003140,-0.000329
3.8195,0.000778,0.002320
5.0782,-0.001669,0.004866
6.4406,-0.004224,0.007324
7.9296,-0.006908,0.009702
9.5730,-0.009741,0.012004
11.4050,-0.012734,0.014222
13.4671,-0.015891,0.016338
15.8101,-0.019193,0.018322
18.4956,-0.022599,0.020137
21.5988,-0.026041,0.021737
25.2114,-0.029430,0.023086
29.4447,-0.032672,0.024160
34.4342,-0.035481,0.024900
40.3441,-0.038178,0.025427
47.3737,-0.040479,0.025701
55.7643,-0.042430,0.025784
65.8073,-0.044097,0.025697
77.8539,-0.045361,0.025418
92.3261,-0.044850,0.023293
109.7293,-0.006137,-0.007383
130.6660,0.022693,-0.027699
155.8507,0.041815,-0.005553
186.1256,0.048106,0.005057
222.4752,0.055395,0.014765
266.0403,0.059530,0.028132
318.1274,0.059996,0.037340
380.2130,0.064752,0.039999
453.9377,0.070898,0.041848
541.0889,0.074517,0.044006
643.5668,0.070518,0.046010
763.3331,0.062650,0.046280
902.3393,0.052472,0.050580
