depth_m,vx_north_ms,vy_east_ms
0.4940,0.027847,0.055591
1.5414,0.028051,0.059376
2.6457,0.028157,0.063104
3.8195,0.028167,0.066781
5.0782,0.028083,0.070423
6.4406,0.027901,0.074049
7.9296,0.027618,0.077674
9.5730,0.027228,0.081308
11.4050,0.026722,0.084956
13.4671,0.026092,0.088609
15.8101,0.025331,0.092243
18.4956,0.024438,0.095814
21.5988,0.023418,0.099247
25.2114,0.022284,0.102466
29.4447,0.021027,0.105438
34.4342,0.019791,0.107704
40.3441,0.018351,0.109483
47.3737,0.011557,0.100782
55.7643,-0.036718,0.016280
65.8073,-0.031736,-0.018885
77.8539,-0.007447,-0.019317
92.3261,0.007000,-0.007806
109.7293,0.010476,0.002932
130.6660,0.009604,0.004956
155.8507,0.007452,0.001682
186.1256,0.006414,0.000712
222.4752,0.007474,0.001883
266.0403,0.010454,0.005200
318.1274,0.010608,0.008020
380.2130,0.009151,0.009300
453.9377,0.011288,0.010383
541.0889,0.012819,0.013093
643.5668,0.009333,0.009622
763.3331,0.008892,0.000274
902.3393,0.015120,-0.007443
