depth_m,vx_north_ms,vy_east_ms
0.4940,0.009853,-0.031783
1.5414,0.016037,-0.033027
2.6457,0.020046,-0.033315
3.8195,0.022319,-0.033066
5.0782,0.019327,-0.027464
6.4406,0.011496,-0.023255
7.9296,0.010226,-0.022689
9.5730,0.010747,-0.016540
11.4050,0.005714,-0.004265
13.4671,-0.005923,0.011593
15.8101,-0.013106,0.020050
18.4956,-0.009418,0.021290
21.5988,-0.001367,0.021274
25.2114,0.004253,0.020090
29.4447,0.006313,0.015632
34.4342,0.006502,0.007822
40.3441,0.006978,0.000132
47.3737,0.010011,0.000419
55.7643,0.013791,0.010248
65.8073,0.014834,0.023419
77.8539,0.013269,0.030945
92.3261,0.010942,0.030661
109.7293,0.008702,0.025858
130.6660,0.005730,0.019103
155.8507,0.001871,0.011780
186.1256,0.005060,0.007910
222.4752,0.011067,0.005494
266.0403,0.013576,0.002481
318.1274,0.016134,0.001744
380.2130,0.019368,-0.000301
453.9377,0.023383,-0.001102
541.0889,0.023319,0.003100
643.5668,0.025214,-0.004124
763.3331,0.031514,-0.009095
902.3393,0.028379,-0.008396
