depth_m,vx_north_ms,vy_east_ms
0.4940,0.081982,0.051209
1.5414,0.077951,0.054994
2.6457,0.074556,0.055967
3.8195,0.071070,0.034485
5.0782,0.097236,0.035673
6.4406,0.109651,0.054097
7.9296,0.102717,0.067228
9.5730,0.079561,0.066603
11.4050,0.052029,0.047638
13.4671,0.041006,0.028546
15.8101,0.040443,0.021076
18.4956,0.043129,0.021550
21.5988,0.048310,0.023253
25.2114,0.054617,0.024594
29.4447,0.059874,0.027388
34.4342,0.061796,0.033839
40.3441,0.058475,0.044045
47.3737,0.050018,0.055078
55.7643,0.039909,0.061360
65.8073,0.035923,0.057543
77.8539,0.041159,0.048145
92.3261,0.045209,0.042502
109.7293,0.045887,0.044702
130.6660,0.047391,0.052645
155.8507,0.051502,0.062988
186.1256,0.055145,0.069223
222.4752,0.051006,0.068226
266.0403,0.046205,0.061063
318.1274,0.046726,0.056225
380.2130,0.046846,0.057312
453.9377,0.043656,0.052786
541.0889,0.041295,0.048664
643.5668,0.042206,0.041780
763.3331,0.049475,0.033135
902.3393,0.057893,0.033440
