depth_m,vx_north_ms,vy_east_ms
0.4940,-0.164623,-0.125205
1.5414,-0.161740,-0.126528
2.6457,-0.158820,-0.127847
3.8195,-0.155840,-0.129172
5.0782,-0.152772,-0.130511
6.4406,-0.149588,-0.131877
7.9296,-0.146258,-0.133277
9.5730,-0.142750,-0.134721
11.4050,-0.139029,-0.136217
13.4671,-0.135063,-0.137772
15.8101,-0.130818,-0.139389
18.4956,-0.126267,-0.141068
21.5988,-0.121390,-0.142802
25.2114,-0.116180,-0.144578
29.4447,-0.110651,-0.146368
34.4342,-0.104843,-0.148136
40.3441,-0.098819,-0.149825
47.3737,-0.092629,-0.151363
55.7643,-0.086148,-0.152639
65.8073,-0.077061,-0.153329
77.8539,0.020939,-0.090750
92.3261,0.031434,-0.073636
109.7293,0.053841,-0.062580
130.6660,0.075867,-0.064301
155.8507,0.082843,-0.068039
186.1256,0.090135,-0.058720
222.4752,0.100916,-0.044523
266.0403,0.106533,-0.025045
318.1274,0.105861,-0.009412
380.2130,0.103138,-0.000985
453.9377,0.095053,0.003070
541.0889,0.084958,0.000968
643.5668,0.075503,-0.008102
763.3331,0.065148,-0.017047
902.3393,0.060223,-0.033046
