depth_m,vx_north_ms,vy_east_ms
0.4940,-0.012168,0.346049
1.5414,-0.014585,0.344046
2.6457,-0.016990,0.342024
3.8195,-0.019405,0.339963
5.0782,-0.021854,0.337840
6.4406,-0.024366,0.335628
7.9296,-0.026974,0.333295
9.5730,-0.029711,0.330802
11.4050,-0.032612,0.328112
13.4671,-0.035707,0.325184
15.8101,-0.039022,0.321978
18.4956,-0.042578,0.318454
21.5988,-0.046382,0.314578
25.2114,-0.050429,0.310316
29.4447,-0.054693,0.305638
34.4342,-0.059114,0.300519
40.3441,-0.063581,0.294898
47.3737,-0.067961,0.288337
55.7643,-0.074179,0.266014
65.8073,-0.065133,0.144842
77.8539,0.011601,-0.001578
92.3261,0.038131,-0.032423
109.7293,0.041922,-0.025359
130.6660,0.040624,-0.013086
155.8507,0.037524,-0.009587
186.1256,0.031445,-0.015104
222.4752,0.027452,-0.025633
266.0403,0.025743,-0.030651
318.1274,0.030818,-0.030898
380.2130,0.024346,-0.028363
453.9377,0.015102,-0.026442
541.0889,0.021993,-0.015155
643.5668,0.007228,-0.007089
763.3331,-0.014272,0.003411
902.3393,-0.016364,0.003614
