depth_m,vx_north_ms,vy_east_ms
0.4940,0.082839,-0.058205
1.5414,0.079203,-0.058673
2.6457,0.075612,-0.059235
3.8195,0.072054,-0.059896
5.0782,0.068503,-0.060663
6.4406,0.064936,-0.061550
7.9296,0.061327,-0.062577
9.5730,0.057650,-0.063767
11.4050,0.053879,-0.065154
13.4671,0.049989,-0.066783
15.8101,0.045963,-0.068710
18.4956,0.041783,-0.071009
21.5988,0.037449,-0.073779
25.2114,0.032976,-0.077150
29.4447,0.028404,-0.081310
34.4342,0.023838,-0.086530
40.3441,0.019559,-0.093131
47.3737,0.016200,-0.101425
55.7643,0.015238,-0.112487
65.8073,0.072874,-0.102976
77.8539,0.063898,-0.059567
92.3261,0.055217,-0.056504
109.7293,0.053962,-0.058751
130.6660,0.050660,-0.054011
155.8507,0.053458,-0.042205
186.1256,0.052917,-0.034017
222.4752,0.050079,-0.031300
266.0403,0.048970,-0.031915
318.1274,0.049896,-0.033961
380.2130,0.053785,-0.036391
453.9377,0.057589,-0.038373
541.0889,0.057758,-0.036778
643.5668,0.055802,-0.029113
763.3331,0.047181,-0.026521
902.3393,0.032708,-0.025141
