depth_m,vx_north_ms,vy_east_ms
0.4940,0.091027,-0.109496
1.5414,0.096163,-0.104774
2.6457,0.100000,-0.100630
3.8195,0.102350,-0.097645
5.0782,0.103909,-0.095251
6.4406,0.105253,-0.092461
7.9296,0.104153,-0.087287
9.5730,0.095122,-0.082522
11.4050,0.089019,-0.082583
13.4671,0.083117,-0.082586
15.8101,0.080271,-0.083314
18.4956,0.077490,-0.080319
21.5988,0.065938,-0.077016
25.2114,0.050651,-0.077980
29.4447,0.038023,-0.081623
34.4342,0.026551,-0.086131
40.3441,0.017985,-0.114854
47.3737,0.108890,-0.093957
55.7643,0.102635,-0.062047
65.8073,0.087033,-0.062152
77.8539,0.080397,-0.074018
92.3261,0.078053,-0.085654
109.7293,0.076933,-0.091363
130.6660,0.079203,-0.090729
155.8507,0.086679,-0.086329
186.1256,0.087725,-0.078732
222.4752,0.085418,-0.076996
266.0403,0.082913,-0.069070
318.1274,0.087383,-0.065048
380.2130,0.091643,-0.066593
453.9377,0.093392,-0.065066
541.0889,0.090761,-0.065056
643.5668,0.092115,-0.070367
763.3331,0.084423,-0.055151
902.3393,0.087633,-0.044648
