depth_m,vx_north_ms,vy_east_ms
0.4940,-0.078764,-0.017477
1.5414,-0.078053,-0.020577
2.6457,-0.077288,-0.023691
3.8195,-0.076457,-0.026842
5.0782,-0.075548,-0.030057
6.4406,-0.074544,-0.033362
7.9296,-0.073423,-0.036790
9.5730,-0.072158,-0.040374
11.4050,-0.070715,-0.044147
13.4671,-0.069052,-0.048144
15.8101,-0.067115,-0.052397
18.4956,-0.064839,-0.056932
21.5988,-0.062144,-0.061764
25.2114,-0.058937,-0.066887
29.4447,-0.055106,-0.072270
34.4342,-0.050528,-0.077840
40.3441,-0.045068,-0.083469
47.3737,-0.038598,-0.088958
55.7643,-0.031022,-0.094016
65.8073,-0.022327,-0.098245
77.8539,-0.012639,-0.101163
92.3261,-0.002195,-0.102242
109.7293,0.008868,-0.100850
130.6660,0.021090,-0.095453
155.8507,0.036007,-0.079974
186.1256,0.024042,-0.009909
222.4752,0.033087,-0.042490
266.0403,0.037301,-0.033981
318.1274,0.043783,-0.026943
380.2130,0.043028,-0.009337
453.9377,0.035157,0.000913
541.0889,0.024658,-0.005350
643.5668,0.024984,-0.014178
763.3331,0.035148,-0.016866
902.3393,0.039748,-0.011267
