depth_m,vx_north_ms,vy_east_ms
0.4940,-0.021121,0.097200
1.5414,-0.024526,0.095934
2.6457,-0.027867,0.094587
3.8195,-0.031161,0.093149
5.0782,-0.034424,0.091610
6.4406,-0.037674,0.089953
7.9296,-0.040925,0.088160
9.5730,-0.044190,0.086211
11.4050,-0.047475,0.084079
13.4671,-0.050783,0.081738
15.8101,-0.054107,0.079160
18.4956,-0.057425,0.076321
21.5988,-0.060699,0.073205
25.2114,-0.063869,0.069815
29.4447,-0.066852,0.066181
34.4342,-0.069543,0.062378
40.3441,-0.071824,0.058530
47.3737,-0.073576,0.054814
55.7643,-0.074699,0.051410
65.8073,-0.074998,0.048472
77.8539,-0.065806,0.046322
92.3261,-0.070527,0.020928
109.7293,-0.030124,0.021082
130.6660,0.000633,0.017509
155.8507,0.002188,0.009059
186.1256,-0.002070,0.006346
222.4752,-0.001762,0.004342
266.0403,0.003442,0.001943
318.1274,0.009254,0.006223
380.2130,0.014793,0.012395
453.9377,0.019415,0.015846
541.0889,0.025994,0.020111
643.5668,0.029324,0.025978
763.3331,0.026673,0.035444
902.3393,0.011286,0.044844
