depth_m,vx_north_ms,vy_east_ms
0.4940,0.009494,0.088141
1.5414,0.006963,0.086273
2.6457,0.004448,0.084356
3.8195,0.001928,0.082371
5.0782,-0.000615,0.080297
6.4406,-0.003202,0.078108
7.9296,-0.005852,0.075778
9.5730,-0.008587,0.073270
11.4050,-0.011425,0.070547
13.4671,-0.014383,0.067564
15.8101,-0.017476,0.064271
18.4956,-0.020710,0.060610
21.5988,-0.024086,0.056516
25.2114,-0.027590,0.051916
29.4447,-0.031195,0.046735
34.4342,-0.034849,0.040892
40.3441,-0.038469,0.034311
47.3737,-0.041939,0.026920
55.7643,-0.045085,0.018656
65.8073,-0.047646,0.009371
77.8539,-0.049091,-0.002508
92.3261,-0.023302,-0.019799
109.7293,0.039653,-0.014030
130.6660,0.050990,-0.003503
155.8507,0.043466,0.003296
186.1256,0.036294,0.008878
222.4752,0.032585,0.013647
266.0403,0.034785,0.019007
318.1274,0.038340,0.029051
380.2130,0.037897,0.034951
453.9377,0.040576,0.036903
541.0889,0.045127,0.038402
643.5668,0.048014,0.041469
763.3331,0.051265,0.039616
902.3393,0.048440,0.027371
