depth_m,vx_north_ms,vy_east_ms
0.4940,0.025738,-0.054764
1.5414,0.032020,-0.053220
2.6457,0.036155,-0.052249
3.8195,0.043281,-0.051419
5.0782,0.059859,-0.055208
6.4406,0.075584,-0.054470
7.9296,0.092950,-0.041091
9.5730,0.103829,-0.023493
11.4050,0.108628,-0.014006
13.4671,0.111596,-0.010459
15.8101,0.112426,-0.008638
18.4956,0.105601,-0.008198
21.5988,0.084273,-0.015818
25.2114,0.056260,-0.043438
29.4447,0.040384,-0.058642
34.4342,0.028879,-0.049494
40.3441,0.012777,-0.028207
47.3737,0.003105,-0.010384
55.7643,-0.000032,-0.005641
65.8073,-0.003524,-0.005418
77.8539,-0.009760,-0.004139
92.3261,-0.017077,-0.003290
109.7293,-0.023197,-0.003235
130.6660,-0.023355,-0.008324
155.8507,-0.023486,-0.013689
186.1256,-0.024810,-0.019948
222.4752,-0.024925,-0.025521
266.0403,-0.022406,-0.032715
318.1274,-0.017556,-0.038154
380.2130,-0.014508,-0.042038
453.9377,-0.013432,-0.044081
541.0889,-0.004850,-0.046179
643.5668,0.009775,-0.043396
763.3331,0.023087,-0.041325
902.3393,0.028116,-0.045939
