depth_m,vx_north_ms,vy_east_ms
0.4940,-0.041491,0.203291
1.5414,-0.041355,0.200075
2.6457,-0.041227,0.196849
3.8195,-0.041109,0.193588
5.0782,-0.041002,0.190259
6.4406,-0.040909,0.186826
7.9296,-0.040830,0.183253
9.5730,-0.040771,0.179498
11.4050,-0.040734,0.175516
13.4671,-0.040725,0.171261
15.8101,-0.040749,0.166689
18.4956,-0.040814,0.161754
21.5988,-0.040924,0.156415
25.2114,-0.041084,0.150640
29.4447,-0.041292,0.144409
34.4342,-0.041538,0.137707
40.3441,-0.041798,0.130529
47.3737,-0.042020,0.122854
55.7643,-0.042099,0.114582
65.8073,-0.041786,0.105366
77.8539,-0.040107,0.093081
92.3261,-0.015717,0.056969
109.7293,0.038312,0.030445
130.6660,0.030415,0.021477
155.8507,0.033532,0.012701
186.1256,0.036533,0.006334
222.4752,0.039047,0.004492
266.0403,0.039351,0.005867
318.1274,0.039534,0.006032
380.2130,0.046933,0.009438
453.9377,0.050418,0.015891
541.0889,0.049396,0.022560
643.5668,0.046732,0.024943
763.3331,0.043380,0.022316
902.3393,0.049438,0.016663
