depth_m,vx_north_ms,vy_east_ms
0.4940,-0.034840,0.037080
1.5414,-0.029412,0.038016
2.6457,-0.024350,0.039307
3.8195,-0.020136,0.040744
5.0782,-0.016828,0.042193
6.4406,-0.014135,0.043745
7.9296,-0.010886,0.048609
9.5730,-0.014540,0.067100
11.4050,-0.010335,0.065851
13.4671,0.006525,0.053427
15.8101,0.011748,0.042072
18.4956,0.018830,0.038434
21.5988,0.021599,0.045554
25.2114,0.018443,0.061108
29.4447,0.006711,0.082156
34.4342,-0.018122,0.100753
40.3441,-0.048306,0.097767
47.3737,-0.060246,0.063295
55.7643,-0.036914,0.029038
65.8073,-0.000875,0.027104
