depth_m,vx_north_ms,vy_east_ms
0.4940,-0.080076,0.074500
1.5414,-0.075919,0.078070
2.6457,-0.072027,0.081665
3.8195,-0.068536,0.085138
5.0782,-0.065501,0.088403
6.4406,-0.062967,0.091385
7.9296,-0.060939,0.094075
9.5730,-0.059317,0.096810
11.4050,-0.057410,0.105159
13.4671,-0.080351,0.118782
15.8101,-0.083873,0.110838
18.4956,-0.084333,0.116122
21.5988,-0.097553,0.116354
25.2114,-0.119284,0.091679
29.4447,-0.111899,0.083698
34.4342,-0.094981,0.101458
40.3441,-0.082304,0.119723
47.3737,-0.081676,0.125556
55.7643,-0.086340,0.116970
65.8073,-0.088299,0.102507
