depth_m,vx_north_ms,vy_east_ms
0.4940,-0.036529,0.008314
1.5414,-0.034457,0.005298
2.6457,-0.032334,0.002387
3.8195,-0.030139,-0.000441
5.0782,-0.027838,-0.003223
6.4406,-0.025391,-0.005990
7.9296,-0.022762,-0.008760
9.5730,-0.019923,-0.011537
11.4050,-0.016853,-0.014308
13.4671,-0.013543,-0.017050
15.8101,-0.009997,-0.019722
18.4956,-0.006242,-0.022270
21.5988,-0.002327,-0.024629
25.2114,0.001681,-0.026731
29.4447,0.005716,-0.028523
34.4342,0.009731,-0.029968
40.3441,0.013708,-0.031045
47.3737,0.017698,-0.031731
55.7643,0.021875,-0.031967
65.8073,0.029223,-0.030488
