depth_m,vx_north_ms,vy_east_ms
0.4940,0.081982,0.051209
1.5414,0.077951,0.054994
2.6457,0.074556,0.055967
3.8195,0.071070,0.034485
5.0782,0.097236,0.035673
6.4406,0.109651,0.054097
7.9296,0.102717,0.067228
9.5730,0.079561,0.066603
11.4050,0.052029,0.047638
13.4671,0.041006,0.028546
15.8101,0.040443,0.021076
18.4956,0.043129,0.021550
21.5988,0.048310,0.023253
25.2114,0.054617,0.024594
29.4447,0.059874,0.027388
34.4342,0.061796,0.033839
40.3441,0.058475,0.044045
47.3737,0.050018,0.055078
55.7643,0.039909,0.061360
65.8073,0.035923,0.057543
