depth_m,vx_north_ms,vy_east_ms
0.4940,0.091027,-0.109496
1.5414,0.096163,-0.104774
2.6457,0.100000,-0.100630
3.8195,0.102350,-0.097645
5.0782,0.103909,-0.095251
6.4406,0.105253,-0.092461
7.9296,0.104153,-0.087287
9.5730,0.095122,-0.082522
11.4050,0.089019,-0.082583
13.4671,0.083117,-0.082586
15.8101,0.080271,-0.083314
18.4956,0.077490,-0.080319
21.5988,0.065938,-0.077016
25.2114,0.050651,-0.077980
29.4447,0.038023,-0.081623
34.4342,0.026551,-0.086131
40.3441,0.017985,-0.114854
47.3737,0.108890,-0.093957
55.7643,0.102635,-0.062047
65.8073,0.087033,-0.062152
