depth_m,vx_north_ms,vy_east_ms
0.4940,-0.012096,-0.182410
1.5414,-0.003871,-0.173286
2.6457,0.009771,-0.149955
3.8195,0.037733,-0.093899
5.0782,0.051813,-0.080424
6.4406,0.061340,-0.071347
7.9296,0.067748,-0.057014
9.5730,0.070683,-0.036518
11.4050,0.070794,-0.010421
13.4671,0.069049,0.018906
15.8101,0.066588,0.046969
18.4956,0.064506,0.069244
21.5988,0.063322,0.083352
25.2114,0.062059,0.089460
29.4447,0.057528,0.088857
34.4342,0.045502,0.081036
40.3441,0.027215,0.060228
47.3737,0.016747,0.024295
55.7643,0.020423,-0.010416
65.8073,0.027831,-0.019211
