depth_m,vx_north_ms,vy_east_ms
0.4940,-0.012168,0.346049
1.5414,-0.014585,0.344046
2.6457,-0.016990,0.342024
3.8195,-0.019405,0.339963
5.0782,-0.021854,0.337840
6.4406,-0.024366,0.335628
7.9296,-0.026974,0.333295
9.5730,-0.029711,0.330802
11.4050,-0.032612,0.328112
13.4671,-0.035707,0.325184
15.8101,-0.039022,0.321978
18.4956,-0.042578,0.318454
21.5988,-0.046382,0.314578
25.2114,-0.050429,0.310316
29.4447,-0.054693,0.305638
34.4342,-0.059114,0.300519
40.3441,-0.063581,0.294898
47.3737,-0.067961,0.288337
55.7643,-0.074179,0.266014
65.8073,-0.065133,0.144842
