depth_m,vx_north_ms,vy_east_ms
0.4940,-0.113882,0.061870
1.5414,-0.113722,0.058662
2.6457,-0.113519,0.055416
3.8195,-0.113268,0.052098
5.0782,-0.112965,0.048679
6.4406,-0.112601,0.045130
7.9296,-0.112168,0.041425
9.5730,-0.111655,0.037540
11.4050,-0.111049,0.033455
13.4671,-0.110334,0.029147
15.8101,-0.109492,0.024594
18.4956,-0.108497,0.019768
21.5988,-0.107319,0.014635
25.2114,-0.105919,0.009159
29.4447,-0.104249,0.003303
34.4342,-0.102246,-0.002973
40.3441,-0.099825,-0.009724
47.3737,-0.096859,-0.017028
55.7643,-0.093120,-0.025047
65.8073,-0.088011,-0.034323
