depth_m,vx_north_ms,vy_east_ms
0.4940,-0.164623,-0.125205
1.5414,-0.161740,-0.126528
2.6457,-0.158820,-0.127847
3.8195,-0.155840,-0.129172
5.0782,-0.152772,-0.130511
6.4406,-0.149588,-0.131877
7.9296,-0.146258,-0.133277
9.5730,-0.142750,-0.134721
11.4050,-0.139029,-0.136217
13.4671,-0.135063,-0.137772
15.8101,-0.130818,-0.139389
18.4956,-0.126267,-0.141068
21.5988,-0.121390,-0.142802
25.2114,-0.116180,-0.144578
29.4447,-0.110651,-0.146368
34.4342,-0.104843,-0.148136
40.3441,-0.098819,-0.149825
47.3737,-0.092629,-0.151363
55.7643,-0.086148,-0.152639
65.8073,-0.077061,-0.153329
