depth_m,vx_north_ms,vy_east_ms
0.4940,0.146993,0.011699
1.5414,0.142576,0.009595
2.6457,0.138414,0.007234
3.8195,0.134614,0.004700
5.0782,0.131205,0.002052
6.4406,0.128201,-0.000654
7.9296,0.125611,-0.003355
9.5730,0.123444,-0.005988
11.4050,0.121692,-0.008496
13.4671,0.120334,-0.010846
15.8101,0.119344,-0.013013
18.4956,0.118699,-0.015024
21.5988,0.118404,-0.016928
25.2114,0.118637,-0.018778
29.4447,0.119960,-0.020585
34.4342,0.123430,-0.021315
40.3441,0.126161,-0.017100
47.3737,0.126453,-0.011608
55.7643,0.110918,-0.000925
65.8073,0.088804,0.014137
